Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
beruf_teilzeit;6;0.8930
beruf_teilzeit;7;1.0220
beruf_teilzeit;8;1.3494
beruf_teilzeit;9;1.2762
beruf_teilzeit;10;1.2007
beruf_teilzeit;11;0.4391
beruf_teilzeit;12;1.5571
beruf_teilzeit;13;2.0508
beruf_teilzeit;14;1.6060
beruf_teilzeit;15;0.7844
beruf_schueler_azubi;1;0
beruf_schueler_azubi;2;0.1256
beruf_schueler_azubi;3;0.2487
beruf_schueler_azubi;4;0.7299
beruf_schueler_azubi;5;1.1723
beruf_schueler_azubi;6;1.3819
beruf_schueler_azubi;7;1.5480
beruf_schueler_azubi;8;1.9123
beruf_schueler_azubi;9;1.5585
beruf_schueler_azubi;10;2.0777
beruf_schueler_azubi;11;1.6326
beruf_schueler_azubi;12;2.5664
beruf_schueler_azubi;13;2.8996
beruf_schueler_azubi;14;2.5395
beruf_schueler_azubi;15;1.9691
tourliegtvorhaupttour;1;0
tourliegtvorhaupttour;2;-0.9444
tourliegtvorhaupttour;3;-1.7543
tourliegtvorhaupttour;4;-2.6108
tourliegtvorhaupttour;5;-3.6423
tourliegtvorhaupttour;6;-4.5373
tourliegtvorhaupttour;7;-5.1994
tourliegtvorhaupttour;8;-6.3653
tourliegtvorhaupttour;9;-6.1837
tourliegtvorhaupttour;10;-6.3245
tourliegtvorhaupttour;11;-14.6160
tourliegtvorhaupttour;12;-5.1441
tourliegtvorhaupttour;13;-15.9215
tourliegtvorhaupttour;14;-12.2202
tourliegtvorhaupttour;15;-14.7229
tourliegtnachhaupttour;1;0
tourliegtnachhaupttour;2;-0.9925
tourliegtnachhaupttour;3;-1.9050
tourliegtnachhaupttour;4;-2.9627
tourliegtnachhaupttour;5;-3.7495
tourliegtnachhaupttour;6;-4.3363
tourliegtnachhaupttour;7;-4.7925
tourliegtnachhaupttour;8;-5.3189
tourliegtnachhaupttour;9;-5.7759
tourliegtnachhaupttour;10;-6.1098
tourliegtnachhaupttour;11;-6.7137
tourliegtnachhaupttour;12;-6.3474
tourliegtnachhaupttour;13;-5.7392
tourliegtnachhaupttour;14;-5.5066
tourliegtnachhaupttour;15;-5.4115
